event_id,timestamp,user_id,device_id,os,model,ip_address,city,country,lat,lon,event_type,status_code
evt_000061,2025-06-10T08:45:00Z,usr_1009,dev_2e4c3cc23e,Android 13,vivo Y36,102.42.169.58,Jakarta,ID,-6.2347,106.8822,login,200
evt_000062,2025-06-10T08:46:00Z,usr_1009,dev_2e4c3cc23e,Android 14,SM-A536E,102.42.169.118,Jakarta,ID,-6.2381,106.8428,transfer,200
evt_000003,2025-06-10T08:53:00Z,usr_1001,dev_c991f2d86b,Android 14,vivo Y36,108.15.114.89,Singapore,SG,1.3343,103.797,login,200
evt_000038,2025-06-10T09:04:00Z,usr_1007,dev_5813c7b431,Android 12,Redmi Note 12,105.28.154.240,Jakarta,ID,-6.1957,106.8807,login,200
evt_000039,2025-06-10T09:05:00Z,usr_1007,dev_5813c7b431,Android 12,"iPhone14,3",105.28.154.71,Jakarta,ID,-6.2263,106.8225,transaction,200
evt_000092,2025-06-10T09:40:00Z,usr_1013,dev_b0be763bfc,Android 12,Redmi Note 12,103.12.151.122,Bangkok,TH,13.7546,100.4891,login,200
evt_000028,2025-06-10T10:00:00Z,usr_1005,dev_a1e1ffc4cb,Android 13,"iPhone15,2",113.22.216.44,Jakarta,ID,-6.2163,106.8441,login,200
evt_000411,2025-06-10T10:00:00Z,usr_5501,dev_04700d1c4b,Android 12,"iPhone15,2",114.10.44.193,Jakarta,ID,-6.2175,106.8573,login,200
evt_000412,2025-06-10T10:02:00Z,usr_5501,dev_04700d1c4b,Android 14,Pixel 8,114.10.44.100,Jakarta,ID,-6.2398,106.8456,transfer,200
evt_000290,2025-06-10T10:08:00Z,usr_1035,dev_4ee43d62e1,Android 14,"iPhone15,2",116.28.28.19,Manila,PH,14.5676,120.9469,login,200
evt_000291,2025-06-10T10:09:00Z,usr_1035,dev_4ee43d62e1,Android 13,vivo Y36,116.28.28.114,Manila,PH,14.5782,120.9616,transaction,200
evt_000310,2025-06-10T10:17:00Z,usr_1038,dev_40582a9fcb,Android 12,Redmi Note 12,113.8.118.139,Singapore,SG,1.3903,103.7812,login,200
evt_000191,2025-06-10T10:29:00Z,usr_1024,dev_0a68273a94,iOS 17.4,Redmi Note 12,110.45.43.48,Manila,PH,14.6356,120.9715,login,200
evt_000203,2025-06-10T10:35:00Z,usr_1026,dev_9664c71e3a,iOS 17.4,"iPhone15,2",115.28.2.215,Jakarta,ID,-6.2368,106.8808,login,200
evt_000204,2025-06-10T10:39:00Z,usr_1026,dev_9664c71e3a,iOS 17.4,"iPhone15,2",115.28.2.79,Jakarta,ID,-6.2391,106.8247,transaction,200
evt_000068,2025-06-10T10:40:00Z,usr_1010,dev_44492f9458,Android 12,vivo Y36,102.26.208.124,Jakarta,ID,-6.2483,106.8337,login,200
evt_000104,2025-06-10T10:49:00Z,usr_1015,dev_f65a09c2fb,iOS 17.4,SM-G991B,114.5.20.197,Bangkok,TH,13.7768,100.4994,login,200
evt_000105,2025-06-10T10:52:00Z,usr_1015,dev_f65a09c2fb,Android 12,vivo Y36,114.5.20.164,Bangkok,TH,13.7814,100.5393,transaction,200
evt_000150,2025-06-10T11:31:00Z,usr_1020,dev_5a5de62fe4,Android 14,SM-G991B,111.42.214.93,Jakarta,ID,-6.1856,106.8246,login,200
evt_000151,2025-06-10T11:33:00Z,usr_1020,dev_5a5de62fe4,Android 13,"iPhone14,3",111.42.214.191,Jakarta,ID,-6.2151,106.8147,top_up,200
evt_000164,2025-06-10T11:35:00Z,usr_1021,dev_11aef9a7da,Android 12,Redmi Note 12,110.24.150.9,Bangkok,TH,13.7307,100.518,login,200
evt_000165,2025-06-10T11:38:00Z,usr_1021,dev_11aef9a7da,Android 13,"iPhone14,3",110.24.150.224,Bangkok,TH,13.7278,100.5144,top_up,200
evt_000200,2025-06-10T11:38:00Z,usr_1025,dev_2c26e38c5b,iOS 18.0,SM-G991B,118.28.236.103,Jakarta,ID,-6.2086,106.8245,login,200
evt_000071,2025-06-10T11:40:00Z,usr_1010,dev_44492f9458,iOS 18.0,SM-G991B,102.26.208.23,Jakarta,ID,-6.1974,106.8165,login,200
evt_000072,2025-06-10T11:41:00Z,usr_1010,dev_44492f9458,iOS 18.0,OPPO A78,102.26.208.56,Jakarta,ID,-6.2124,106.8326,top_up,200
evt_000074,2025-06-10T12:14:00Z,usr_1011,dev_aa059fc48c,Android 14,"iPhone15,2",111.14.35.216,Singapore,SG,1.3137,103.792,login,200
evt_000075,2025-06-10T12:15:00Z,usr_1011,dev_aa059fc48c,Android 14,Pixel 8,111.14.35.181,Singapore,SG,1.3326,103.8093,transfer,200
evt_000144,2025-06-10T12:28:00Z,usr_1020,dev_5a5de62fe4,iOS 17.4,"iPhone15,2",111.42.214.115,Jakarta,ID,-6.2132,106.8245,login,200
evt_000145,2025-06-10T12:31:00Z,usr_1020,dev_5a5de62fe4,iOS 17.4,SM-G991B,111.42.214.103,Jakarta,ID,-6.2267,106.8831,transfer,200
evt_000134,2025-06-10T12:33:00Z,usr_1019,dev_5bcc9a0014,Android 12,OPPO A78,107.40.97.189,Bangkok,TH,13.7268,100.5346,login,200
evt_000135,2025-06-10T12:37:00Z,usr_1019,dev_5bcc9a0014,Android 14,"iPhone14,3",107.40.97.203,Bangkok,TH,13.7595,100.5395,transaction,200
evt_000108,2025-06-10T13:00:00Z,usr_1015,dev_f65a09c2fb,iOS 18.0,SM-A536E,114.5.20.82,Bangkok,TH,13.7365,100.4711,login,200
evt_000267,2025-06-10T13:05:00Z,usr_1033,dev_bf3b9ebeec,Android 14,vivo Y36,104.6.122.227,Bangkok,TH,13.7833,100.5365,login,200
evt_000182,2025-06-10T13:08:00Z,usr_1023,dev_822c334e94,Android 13,OPPO A78,116.32.99.214,Bangkok,TH,13.7393,100.5134,login,200
evt_000268,2025-06-10T13:09:00Z,usr_1033,dev_bf3b9ebeec,Android 14,Redmi Note 12,104.6.122.226,Bangkok,TH,13.7193,100.4857,top_up,200
evt_000184,2025-06-10T13:36:00Z,usr_1023,dev_822c334e94,iOS 18.0,"iPhone15,2",116.32.99.84,Bangkok,TH,13.7647,100.5019,login,200
evt_000323,2025-06-10T14:00:00Z,usr_MULE_2100,farm_032a625741,iOS 18.0,OPPO A78,45.83.12.94,Manila,PH,14.568,120.9446,device_bind,200
evt_000324,2025-06-10T14:00:20Z,usr_MULE_2100,farm_032a625741,iOS 17.4,Pixel 8,45.83.12.94,Manila,PH,14.6204,120.9524,kyc_check,403
evt_000325,2025-06-10T14:00:45Z,usr_MULE_2100,farm_032a625741,Android 13,"iPhone14,3",45.83.12.112,Manila,PH,14.5954,120.9886,top_up,200
evt_000326,2025-06-10T14:01:10Z,usr_MULE_2100,farm_032a625741,iOS 18.0,SM-A536E,45.83.12.8,Manila,PH,14.5667,120.9885,transfer,200
evt_000327,2025-06-10T14:04:00Z,usr_MULE_2101,farm_032a625741,iOS 18.0,SM-G991B,45.83.12.76,Manila,PH,14.5926,121.0065,device_bind,200
evt_000328,2025-06-10T14:04:20Z,usr_MULE_2101,farm_032a625741,Android 12,"iPhone15,2",45.83.12.148,Manila,PH,14.6012,120.999,kyc_check,200
evt_000329,2025-06-10T14:04:45Z,usr_MULE_2101,farm_032a625741,Android 14,"iPhone14,3",45.83.12.70,Manila,PH,14.5836,120.9836,top_up,200
evt_000330,2025-06-10T14:05:10Z,usr_MULE_2101,farm_032a625741,Android 13,"iPhone14,3",45.83.12.113,Manila,PH,14.5816,120.9682,transfer,200
evt_000331,2025-06-10T14:06:00Z,usr_MULE_2102,farm_032a625741,iOS 17.4,Redmi Note 12,45.83.12.243,Manila,PH,14.5792,120.9942,device_bind,200
evt_000332,2025-06-10T14:06:20Z,usr_MULE_2102,farm_032a625741,Android 12,"iPhone15,2",45.83.12.119,Manila,PH,14.5681,120.9686,kyc_check,200
evt_000333,2025-06-10T14:06:45Z,usr_MULE_2102,farm_032a625741,iOS 18.0,OPPO A78,45.83.12.217,Manila,PH,14.6091,121.0085,top_up,200
evt_000334,2025-06-10T14:07:10Z,usr_MULE_2102,farm_032a625741,iOS 17.4,Pixel 8,45.83.12.87,Manila,PH,14.5939,121.0101,transfer,200
evt_000335,2025-06-10T14:09:00Z,usr_MULE_2103,farm_032a625741,iOS 17.4,OPPO A78,45.83.12.156,Manila,PH,14.6353,120.9603,device_bind,200
evt_000336,2025-06-10T14:09:20Z,usr_MULE_2103,farm_032a625741,iOS 17.4,"iPhone14,3",45.83.12.248,Manila,PH,14.5914,120.9697,kyc_check,200
evt_000337,2025-06-10T14:09:45Z,usr_MULE_2103,farm_032a625741,iOS 18.0,"iPhone15,2",45.83.12.85,Manila,PH,14.5896,121.0095,top_up,200
